OBS.;TOWN;TOWN#;TRACT;LON;LAT;MEDV;CMEDV;CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
1;Nahant;0;2011;-70.955.000;42.255.000;24.0;24.0;0.00632;18.0;2.31;0;0.538;6.575;65.2;40.900;1;296;15.3;396.90;4.98
2;Swampscott;1;2021;-70.950.000;42.287.500;21.6;21.6;0.02731;0.0;7.07;0;0.469;6.421;78.9;49.671;2;242;17.8;396.90;9.14
3;Swampscott;1;2022;-70.936.000;42.283.000;34.7;34.7;0.02729;0.0;7.07;0;0.469;7.185;61.1;49.671;2;242;17.8;392.83;4.03
4;Marblehead;2;2031;-70.928.000;42.293.000;33.4;33.4;0.03237;0.0;2.18;0;0.458;6.998;45.8;60.622;3;222;18.7;394.63;2.94
5;Marblehead;2;2032;-70.922.000;42.298.000;36.2;36.2;0.06905;0.0;2.18;0;0.458;7.147;54.2;60.622;3;222;18.7;396.90;5.33
6;Marblehead;2;2033;-70.916.500;42.304.000;28.7;28.7;0.02985;0.0;2.18;0;0.458;6.430;58.7;60.622;3;222;18.7;394.12;5.21
7;Salem;3;2041;-70.936.000;42.297.000;22.9;22.9;0.08829;12.5;7.87;0;0.524;6.012;66.6;55.605;5;311;15.2;395.60;12.43
8;Salem;3;2042;-70.937.500;42.310.000;27.1;22.1;0.14455;12.5;7.87;0;0.524;6.172;96.1;59.505;5;311;15.2;396.90;19.15
9;Salem;3;2043;-70.933.000;42.312.000;16.5;16.5;0.21124;12.5;7.87;0;0.524;5.631;100.0;60.821;5;311;15.2;386.63;29.93
10;Salem;3;2044;-70.929.000;42.316.000;18.9;18.9;0.17004;12.5;7.87;0;0.524;6.004;85.9;65.921;5;311;15.2;386.71;17.10
11;Salem;3;2045;-70.935.000;42.316.000;15.0;15.0;0.22489;12.5;7.87;0;0.524;6.377;94.3;63.467;5;311;15.2;392.52;20.45
12;Salem;3;2046;-70.944.000;42.317.000;18.9;18.9;0.11747;12.5;7.87;0;0.524;6.009;82.9;62.267;5;311;15.2;396.90;13.27
13;Salem;3;2047;-70.951.000;42.306.000;21.7;21.7;0.09378;12.5;7.87;0;0.524;5.889;39.0;54.509;5;311;15.2;390.50;15.71
14;Lynn;4;2051;-70.964.500;42.292.000;20.4;20.4;0.62976;0.0;8.14;0;0.538;5.949;61.8;47.075;4;307;21.0;396.90;8.26
15;Lynn;4;2052;-70.972.000;42.287.000;18.2;18.2;0.63796;0.0;8.14;0;0.538;6.096;84.5;44.619;4;307;21.0;380.02;10.26
16;Lynn;4;2053;-70.976.500;42.294.000;19.9;19.9;0.62739;0.0;8.14;0;0.538;5.834;56.5;44.986;4;307;21.0;395.62;8.47
17;Lynn;4;2054;-70.987.000;42.298.500;23.1;23.1;105.393;0.0;8.14;0;0.538;5.935;29.3;44.986;4;307;21.0;386.85;6.58
18;Lynn;4;2055;-70.978.000;42.285.000;17.5;17.5;0.78420;0.0;8.14;0;0.538;5.990;81.7;42.579;4;307;21.0;386.75;14.67
